Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
grok-1,2024-03-17T08:53:38Z,5,0,2025-03-02T18:11:10Z,Python,80,20
kotlin,2012-02-13T17:29:58Z,2064,248,2025-03-02T18:57:15Z,Kotlin,0,0
uBlock,2015-04-01T17:51:11Z,247,273,2025-03-02T21:13:20Z,JavaScript,100,0
langflow,2023-02-08T22:28:03Z,3419,250,2025-03-02T21:49:34Z,Python,100,0
prettier,2016-11-29T17:13:37Z,8492,123,2025-03-02T21:49:08Z,JavaScript,100,0
pdf.js,2011-04-26T06:32:03Z,7806,70,2025-03-02T21:14:58Z,JavaScript,100,0
Docker-OSX,2020-06-04T11:01:37Z,105,0,2025-03-02T21:56:07Z,Shell,80,20
github-cheat-sheet,2014-04-12T16:38:42Z,129,0,2025-03-02T20:05:27Z,N/A,48,22
dive,2018-05-13T15:44:01Z,141,26,2025-03-02T21:08:25Z,Go,85,15
jekyll,2008-10-20T06:29:03Z,3178,112,2025-03-02T19:38:41Z,Ruby,100,0
bulma,2016-01-23T23:48:34Z,638,21,2025-03-02T20:31:54Z,CSS,98,2
meilisearch,2018-04-23T11:45:28Z,1936,242,2025-03-02T21:49:04Z,Rust,100,0
astro,2021-03-15T17:19:47Z,6859,1000,2025-03-02T20:58:20Z,TypeScript,100,0
DefinitelyTyped,2012-10-05T16:39:45Z,51090,1,2025-03-02T18:52:03Z,TypeScript,99,1
clash-verge-rev,2023-11-21T18:24:03Z,158,43,2025-03-02T21:57:11Z,TypeScript,99,1
segment-anything,2023-03-23T17:03:03Z,16,0,2025-03-02T17:54:14Z,Jupyter Notebook,31,69
rclone,2014-03-16T16:19:57Z,2011,108,2025-03-02T19:08:12Z,Go,98,2
core,2018-06-12T13:49:36Z,2971,238,2025-03-02T18:32:21Z,TypeScript,99,1
awesome-rust,2014-07-17T10:45:10Z,1481,0,2025-03-02T21:30:32Z,Rust,93,7
trackerslist,2016-04-24T11:57:57Z,1,0,2025-03-02T20:10:40Z,N/A,99,1
chinese-poetry,2016-09-02T03:32:25Z,135,1,2025-03-02T13:00:50Z,JavaScript,65,35
marktext,2017-11-12T16:05:25Z,939,36,2025-03-02T19:25:30Z,JavaScript,98,2
MetaGPT,2023-06-30T09:04:55Z,653,21,2025-03-02T21:52:44Z,Python,98,2
etcd,2013-07-06T21:57:21Z,9219,245,2025-03-02T21:32:24Z,Go,100,0
Ghost,2013-05-04T11:09:13Z,12309,847,2025-03-02T20:44:02Z,JavaScript,100,0
OpenHands,2024-03-13T03:33:31Z,3512,44,2025-03-02T21:55:26Z,Python,100,0
go-ethereum,2013-12-26T13:05:46Z,7800,209,2025-03-02T19:59:34Z,Go,100,0
awesome-ios,2014-07-10T16:03:45Z,2233,0,2025-03-02T15:31:48Z,Swift,100,0
cypress,2015-03-04T00:46:28Z,6656,359,2025-03-02T12:10:55Z,TypeScript,99,1
powerlevel10k,2019-02-24T19:09:45Z,167,33,2025-03-02T21:33:09Z,Shell,100,0
FFmpeg,2011-04-14T14:12:38Z,16,0,2025-03-02T21:47:15Z,C,0,0
moment,2011-03-01T02:46:06Z,714,0,2025-03-01T08:50:46Z,JavaScript,100,0
RxJava,2013-01-08T20:11:48Z,3296,235,2025-03-02T20:51:58Z,Java,100,0
hacker-scripts,2015-11-21T19:05:09Z,63,0,2025-03-02T17:42:51Z,JavaScript,52,35
joplin,2017-01-16T21:49:41Z,3847,370,2025-03-02T21:13:32Z,TypeScript,99,1
mastodon,2016-02-22T15:01:25Z,16629,266,2025-03-02T18:56:39Z,Ruby,99,1
hiring-without-whiteboards,2017-03-15T05:09:01Z,1297,0,2025-03-02T20:23:59Z,JavaScript,0,0
dayjs,2018-04-10T09:26:44Z,695,119,2025-03-02T18:15:05Z,JavaScript,97,3
appwrite,2019-04-08T16:36:25Z,3338,104,2025-03-02T20:11:23Z,TypeScript,98,2
professional-programming,2015-11-07T05:07:52Z,38,0,2025-03-02T18:52:50Z,Python,28,0
gitea,2016-11-01T02:13:26Z,17018,205,2025-03-02T20:54:44Z,Go,94,6
starship,2019-04-02T03:23:12Z,2788,134,2025-03-02T20:47:31Z,Rust,95,5
llm-course,2023-06-17T22:16:25Z,1,0,2025-03-02T21:45:38Z,Jupyter Notebook,28,48
ImHex,2020-11-10T14:27:00Z,595,79,2025-03-02T19:08:47Z,C++,99,1
algorithm-visualizer,2016-05-15T00:27:45Z,183,0,2025-03-02T19:31:14Z,JavaScript,73,27
first-contributions,2016-09-20T14:35:09Z,79917,0,2025-03-02T21:51:53Z,N/A,100,0
big-list-of-naughty-strings,2015-08-08T20:57:20Z,90,0,2025-03-02T19:58:09Z,Python,32,68
PaddleOCR,2020-05-08T10:38:16Z,2601,16,2025-03-02T20:54:32Z,Python,100,0
awesome-wechat-weapp,2016-09-22T20:04:48Z,277,0,2025-03-02T15:49:52Z,N/A,0,0
Motrix,2018-12-18T11:45:05Z,192,21,2025-03-02T19:14:08Z,JavaScript,94,6
alist,2020-12-23T17:40:29Z,783,124,2025-03-02T17:58:27Z,Go,100,0
PowerShell,2016-01-13T23:41:35Z,7317,181,2025-03-02T20:22:32Z,C#,100,0
serverless,2015-04-21T03:48:40Z,4721,432,2025-03-02T18:55:56Z,JavaScript,100,0
100-Days-Of-ML-Code,2018-07-05T09:11:43Z,6,0,2025-03-02T21:45:27Z,N/A,0,0
julia,2011-04-21T07:01:50Z,24980,171,2025-03-02T20:50:08Z,Julia,99,1
okhttp,2012-07-23T13:42:55Z,3519,0,2025-03-02T15:42:56Z,Kotlin,100,0
AFFiNE,2022-07-31T18:45:21Z,6526,434,2025-03-02T21:40:31Z,TypeScript,100,0
design-patterns-for-humans,2017-02-16T21:24:39Z,50,0,2025-03-02T20:10:03Z,N/A,47,5
react,2018-06-02T04:08:16Z,370,0,2025-03-02T21:47:37Z,JavaScript,100,0
learn-regex,2017-07-22T12:21:03Z,124,0,2025-03-02T10:25:13Z,N/A,35,51
Projects,2013-07-04T13:37:27Z,19,0,2025-03-02T21:07:47Z,N/A,33,41
v2ray-core,2015-09-04T11:42:53Z,203,247,2025-03-02T21:13:23Z,Go,100,0
x64dbg,2015-04-11T20:48:23Z,699,2,2025-03-02T19:35:45Z,C++,95,5
gogs,2014-02-12T01:57:08Z,1739,82,2025-03-02T18:59:30Z,Go,97,3
huginn,2013-03-10T06:00:31Z,1042,1,2025-03-02T21:53:08Z,Ruby,94,6
30-Days-Of-Python,2019-11-19T17:24:16Z,55,0,2025-03-02T21:39:45Z,Python,69,31
architecture-samples,2016-02-05T13:42:07Z,231,0,2025-03-02T21:13:26Z,Kotlin,92,8
quill,2012-07-30T23:23:18Z,379,95,2025-03-02T18:08:07Z,TypeScript,99,1
pandas,2010-08-24T01:37:33Z,26520,109,2025-03-02T21:18:06Z,Python,100,0
pixijs,2013-01-21T22:40:50Z,3571,284,2025-03-02T17:37:08Z,TypeScript,100,0
json,2013-07-04T08:47:49Z,811,44,2025-03-02T21:34:29Z,C++,100,0
meteor,2012-01-19T01:58:17Z,2405,0,2025-03-02T18:19:22Z,JavaScript,100,0
jest,2013-12-10T00:18:04Z,5595,203,2025-03-02T19:36:37Z,TypeScript,100,0
type-challenges,2020-07-23T14:33:11Z,574,0,2025-03-02T21:24:31Z,TypeScript,23,77
AdminLTE,2013-12-25T02:52:40Z,1539,75,2025-03-02T14:04:58Z,Astro,100,0
Deep-Live-Cam,2023-09-24T13:19:31Z,69,4,2025-03-02T21:54:06Z,Python,100,0
terraform,2014-03-13T22:25:48Z,12226,350,2025-03-02T21:17:11Z,Go,100,0
open-source-ios-apps,2015-01-26T23:32:34Z,1250,37,2025-03-02T18:43:08Z,N/A,100,0
pocketbase,2022-07-05T06:06:21Z,49,196,2025-03-02T19:56:30Z,Go,98,2
30-Days-Of-JavaScript,2019-12-23T14:07:40Z,98,0,2025-03-02T19:37:32Z,JavaScript,49,51
query,2019-09-10T19:23:58Z,2459,1000,2025-03-02T19:29:54Z,TypeScript,100,0
PythonDataScienceHandbook,2016-08-10T14:24:36Z,28,0,2025-03-02T21:39:54Z,Jupyter Notebook,45,55
fuels-ts,2021-09-03T18:11:03Z,1867,143,2025-03-02T09:41:31Z,TypeScript,99,1
fuels-rs,2021-10-31T22:33:54Z,860,110,2025-03-02T09:41:35Z,Rust,98,2
hyper,2016-07-01T06:01:21Z,3291,88,2025-03-02T19:59:43Z,TypeScript,94,6
htmx,2020-04-13T16:17:51Z,873,24,2025-03-02T21:26:32Z,JavaScript,97,3
awesome-react-components,2016-06-24T15:19:33Z,324,0,2025-03-02T21:05:43Z,N/A,44,7
parcel,2017-08-07T16:36:47Z,2578,39,2025-03-02T19:59:46Z,JavaScript,99,1
zx,2021-05-05T05:50:01Z,380,79,2025-03-02T21:13:56Z,JavaScript,100,0
TensorFlow-Examples,2015-11-11T14:21:19Z,88,0,2025-03-02T21:55:00Z,Jupyter Notebook,39,61
Fooocus,2023-08-09T18:43:40Z,447,21,2025-03-02T21:27:58Z,Python,95,5
build-web-application-with-golang,2012-08-02T11:49:35Z,757,0,2025-03-02T19:32:12Z,Go,98,2
babel,2014-09-28T13:38:23Z,6068,426,2025-03-02T18:32:00Z,TypeScript,100,0
discourse,2013-01-12T00:25:55Z,27516,0,2025-03-02T20:58:40Z,Ruby,0,0
CppCoreGuidelines,2015-08-19T20:22:52Z,807,4,2025-03-02T20:38:55Z,CSS,93,7
retrofit,2010-09-06T21:39:43Z,1056,2,2025-03-02T21:13:02Z,HTML,100,0
frontend-dev-bookmarks,2013-06-22T13:23:55Z,129,1,2025-03-02T17:11:45Z,N/A,81,19
jadx,2013-03-18T17:08:21Z,525,30,2025-03-02T19:10:57Z,Java,94,6
open-source-mac-os-apps,2017-11-03T02:35:33Z,523,0,2025-03-02T19:35:12Z,N/A,92,8
awesome-java,2014-07-09T10:12:43Z,691,0,2025-03-02T15:36:50Z,N/A,100,0
text-generation-webui,2022-12-21T04:17:37Z,1076,58,2025-03-02T21:31:48Z,Python,100,0
LLaMA-Factory,2023-05-28T10:09:12Z,405,32,2025-03-02T19:38:56Z,Python,100,0
brew,2016-03-06T05:08:38Z,12126,412,2025-03-02T20:14:35Z,Ruby,100,0
react-use,2018-10-27T10:16:05Z,1520,256,2025-03-02T17:10:15Z,TypeScript,79,21
lazydocker,2019-05-18T08:53:50Z,186,42,2025-03-02T21:27:50Z,Go,81,19
lx-music-desktop,2019-08-14T14:31:08Z,78,109,2025-03-02T17:46:17Z,TypeScript,99,1
react-hook-form,2019-03-05T23:47:10Z,2000,564,2025-03-02T21:18:31Z,TypeScript,100,0
grpc,2014-12-08T18:58:53Z,19611,338,2025-03-02T21:13:18Z,C++,99,1
kubernetes-the-hard-way,2016-07-07T14:15:27Z,71,0,2025-03-02T20:53:40Z,N/A,100,0
front-end-interview-handbook,2018-01-13T19:40:08Z,310,0,2025-03-02T21:23:37Z,MDX,87,13
vaultwarden,2018-02-17T22:40:20Z,914,69,2025-03-02T21:34:16Z,Rust,100,0
Leaflet,2010-09-22T16:57:44Z,3014,31,2025-03-02T20:43:17Z,JavaScript,100,0
Rocket.Chat,2015-05-19T07:36:09Z,13594,1000,2025-03-02T21:44:40Z,TypeScript,99,1
git-flight-rules,2014-07-22T20:35:09Z,224,0,2025-03-01T21:11:21Z,N/A,55,18
dbeaver,2015-10-21T08:26:28Z,5560,219,2025-03-02T21:49:19Z,Java,98,2
pm2,2013-05-21T03:25:25Z,550,124,2025-03-02T15:13:23Z,JavaScript,100,0
maybe,2024-01-01T22:23:46Z,866,26,2025-03-02T21:53:48Z,Ruby,100,0
uv,2023-10-02T20:24:11Z,5830,158,2025-03-02T21:39:16Z,Rust,99,1
ragflow,2023-12-12T06:13:13Z,2338,22,2025-03-02T21:29:08Z,TypeScript,94,6
awesome-cheatsheets,2017-11-09T02:47:15Z,169,0,2025-03-02T21:52:52Z,JavaScript,57,35
Alamofire,2014-07-31T05:56:19Z,650,102,2025-03-02T14:03:23Z,Swift,100,0
JeecgBoot,2018-11-26T10:40:00Z,88,54,2025-03-02T20:52:10Z,Java,100,0
edex-ui,2017-01-28T09:35:02Z,399,29,2025-03-02T20:26:43Z,JavaScript,100,0
monaco-editor,2016-06-07T16:56:31Z,463,91,2025-03-02T17:12:11Z,JavaScript,99,1
GPT-SoVITS,2024-01-14T18:05:21Z,286,2,2025-03-02T18:27:01Z,Python,76,24
yarn,2016-01-19T17:39:16Z,1654,152,2025-03-02T14:46:48Z,JavaScript,100,0
awesome-design-patterns,2018-06-04T17:47:48Z,31,0,2025-03-02T17:09:08Z,N/A,5,10
acme.sh,2015-12-26T12:56:33Z,1377,44,2025-03-02T15:49:30Z,Shell,99,1
prisma,2019-06-20T13:33:47Z,5777,209,2025-03-02T20:46:51Z,TypeScript,95,5
LLMs-from-scratch,2023-07-23T18:15:57Z,287,0,2025-03-02T21:23:51Z,Jupyter Notebook,100,0
FreeDomain,2024-05-30T13:23:00Z,0,0,2025-03-02T21:37:27Z,HTML,0,0
reactjs-interview-questions,2018-05-31T17:17:01Z,158,0,2025-03-02T20:15:36Z,JavaScript,95,5
what-happens-when,2013-11-07T04:30:06Z,108,0,2025-03-02T21:52:51Z,N/A,20,80
vue2-elm,2016-12-23T01:49:20Z,21,0,2025-03-02T11:05:31Z,Vue,100,0
metabase,2015-02-02T19:25:47Z,28425,622,2025-03-02T20:42:00Z,Clojure,99,1
ChatGLM-6B,2023-03-13T12:00:18Z,49,0,2025-03-02T17:42:19Z,Python,96,4
python-patterns,2012-06-06T21:02:35Z,265,0,2025-03-02T18:02:10Z,Python,78,12
pyenv,2012-08-31T06:57:52Z,937,120,2025-03-02T21:38:15Z,Roff,100,0
odoo,2014-05-13T15:38:58Z,6179,0,2025-03-02T21:49:19Z,Python,100,0
dubbo,2012-06-19T07:56:02Z,5594,107,2025-03-02T19:42:17Z,Java,100,0
styled-components,2016-08-16T06:41:32Z,953,172,2025-03-02T17:31:52Z,TypeScript,100,0
spark,2014-02-25T08:00:08Z,7,0,2025-03-02T19:27:11Z,Scala,0,0
swiper,2012-03-14T19:11:45Z,592,81,2025-03-02T15:13:22Z,JavaScript,100,0
autogen,2023-08-18T11:43:45Z,2109,75,2025-03-02T20:06:20Z,Python,100,0
nw.js,2012-01-04T06:21:10Z,575,0,2025-03-02T08:07:04Z,JavaScript,98,2
ColossalAI,2021-10-28T16:19:44Z,3623,48,2025-03-02T15:52:08Z,Python,99,1
uni-app,2018-07-12T08:52:39Z,323,0,2025-03-02T17:55:24Z,JavaScript,98,2
diagrams,2020-02-02T15:23:24Z,306,43,2025-03-02T13:33:46Z,Python,62,38
CPlusPlusThings,2019-07-14T08:45:45Z,72,0,2025-03-02T17:33:11Z,C++,100,0
vuetify,2016-09-12T00:39:35Z,4082,578,2025-03-02T20:36:07Z,TypeScript,100,0
stablediffusion,2022-11-23T23:59:50Z,18,0,2025-03-02T21:22:32Z,Python,37,63
kong,2014-11-17T23:56:08Z,6395,144,2025-03-02T21:54:43Z,Lua,100,0
ailearning,2017-02-25T08:53:02Z,478,2,2025-03-02T12:15:18Z,Python,100,0
sentry,2010-08-30T22:06:41Z,63043,145,2025-03-02T18:27:11Z,Python,100,0
hexo,2012-09-23T15:17:08Z,932,114,2025-03-02T08:07:27Z,TypeScript,100,0
fastlane,2014-12-02T17:00:38Z,6212,548,2025-03-02T14:40:13Z,Ruby,100,0
vllm,2023-02-09T11:23:20Z,4803,50,2025-03-02T21:54:01Z,Python,100,0
black,2018-03-14T19:54:45Z,1541,46,2025-03-02T17:34:27Z,Python,100,0
nvm-windows,2014-09-20T16:37:28Z,107,23,2025-03-02T20:21:52Z,Go,97,3
nanoGPT,2022-12-28T00:51:12Z,45,0,2025-03-02T17:40:03Z,Python,39,61
anything-llm,2023-06-04T02:29:14Z,869,11,2025-03-02T21:48:34Z,JavaScript,100,0
cobra,2013-09-03T20:40:26Z,609,24,2025-03-02T21:54:24Z,Go,99,1
iina,2016-12-19T07:18:45Z,776,44,2025-03-02T20:00:53Z,Swift,91,9
llama_index,2022-11-02T04:24:54Z,6130,362,2025-03-02T18:37:36Z,Python,100,0
termux-app,2015-10-23T09:42:46Z,160,91,2025-03-02T20:10:16Z,Java,90,10
markitdown,2024-11-13T19:56:40Z,89,4,2025-03-02T21:57:37Z,HTML,26,74
ClickHouse,2016-06-02T08:28:18Z,44828,628,2025-03-02T21:05:24Z,C++,100,0
fanqiang,2015-01-14T00:34:25Z,3,3,2025-03-02T15:51:46Z,Kotlin,10,90
tldraw,2021-05-09T11:48:37Z,2866,59,2025-03-02T18:37:44Z,TypeScript,96,4
cheat.sh,2017-05-07T21:40:56Z,124,0,2025-03-02T21:27:43Z,Python,57,43
airflow,2015-04-13T18:04:58Z,24748,93,2025-03-02T21:55:04Z,Python,100,0
materialize,2014-09-12T19:35:38Z,449,41,2025-03-02T18:19:26Z,JavaScript,99,1
tabler,2018-02-01T09:08:59Z,602,48,2025-03-02T17:42:43Z,MDX,100,0
Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,28,0,2025-03-02T21:39:52Z,Python,5,50
v2rayNG,2019-05-15T02:15:31Z,407,227,2025-03-02T15:45:13Z,Kotlin,100,0
bert,2018-10-25T22:57:34Z,32,0,2025-03-02T18:42:31Z,Python,98,2
php-src,2011-06-16T01:52:25Z,3733,7,2025-03-02T21:55:11Z,C,85,15
chinese-independent-developer,2017-09-21T11:08:23Z,268,0,2025-03-02T08:18:09Z,N/A,99,1
chakra-ui,2019-08-17T14:27:54Z,2661,1000,2025-03-02T21:00:01Z,TypeScript,100,0
esbuild,2016-06-14T16:08:50Z,235,292,2025-03-02T17:42:46Z,Go,98,2
wrk,2012-03-20T11:12:28Z,0,0,2025-03-02T20:27:48Z,C,96,4
video.js,2010-05-14T18:45:10Z,1793,328,2025-03-02T19:59:49Z,JavaScript,100,0
cli,2019-10-03T15:24:53Z,2397,156,2025-03-02T21:13:48Z,Go,96,4
50projects50days,2020-11-16T14:39:01Z,44,0,2025-03-02T18:26:12Z,CSS,0,0
Made-With-ML,2018-11-05T03:44:27Z,147,0,2025-03-02T21:55:09Z,Jupyter Notebook,57,16
bevy,2020-01-18T21:13:55Z,4991,36,2025-03-02T21:03:46Z,Rust,95,5
whisper.cpp,2022-09-25T18:26:37Z,633,24,2025-03-02T20:08:50Z,C++,88,12
mitmproxy,2010-02-16T04:10:13Z,2537,72,2025-03-02T20:10:42Z,Python,100,0
TTS,2020-05-20T15:45:28Z,467,98,2025-03-02T21:08:40Z,Python,100,0
typst,2019-09-24T21:41:56Z,1559,21,2025-03-02T17:29:23Z,Rust,89,11
tidb,2015-09-06T04:01:52Z,31556,206,2025-03-02T15:59:50Z,Go,100,0
English-level-up-tips,2017-05-30T07:18:52Z,26,0,2025-03-02T05:31:55Z,HTML,72,27
FastChat,2023-03-19T00:18:02Z,850,14,2025-03-02T16:33:14Z,Python,98,2
zju-icicles,2016-06-28T16:17:32Z,222,0,2025-03-02T16:26:37Z,HTML,68,10
styleguide,2015-05-20T19:18:59Z,177,0,2025-03-02T21:13:21Z,HTML,82,18
coolify,2021-01-25T20:54:01Z,1437,592,2025-03-02T21:32:23Z,PHP,100,0
streamlit,2019-08-24T00:14:52Z,4693,92,2025-03-02T20:43:26Z,Python,98,2
MPAndroidChart,2014-04-25T14:29:47Z,190,44,2025-03-02T21:13:12Z,Java,100,0
expo,2016-08-15T17:14:25Z,15849,0,2025-03-02T21:40:49Z,TypeScript,100,0
EasySpider,2020-07-18T02:41:27Z,40,10,2025-03-02T19:35:07Z,JavaScript,97,3
impress.js,2011-12-28T22:23:19Z,121,15,2025-03-02T12:20:07Z,JavaScript,100,0
zig,2015-08-06T00:51:28Z,8564,18,2025-03-02T21:28:03Z,Zig,93,7
WeChatMsg,2023-01-11T05:03:49Z,62,33,2025-03-02T16:49:10Z,Python,96,4
awesome-compose,2020-02-13T08:51:42Z,149,0,2025-03-02T21:33:17Z,HTML,37,63
gorm,2013-10-25T08:31:38Z,730,2,2025-03-02T21:20:13Z,Go,100,0
phaser,2013-04-12T12:27:51Z,1704,164,2025-03-02T19:32:01Z,JavaScript,100,0
vim,2015-08-18T21:03:56Z,438,0,2025-03-02T21:25:22Z,Vim Script,87,13
jellyfin,2018-12-09T06:36:45Z,4481,85,2025-03-02T21:33:54Z,C#,100,0
TrafficMonitor,2017-07-30T02:51:17Z,56,26,2025-03-02T21:22:30Z,C++,75,25
memos,2021-12-08T15:30:18Z,1628,75,2025-03-02T20:47:23Z,Go,100,0
quivr,2023-05-12T23:53:30Z,1799,354,2025-03-02T17:32:49Z,Python,100,0
free,2020-06-07T02:48:33Z,0,0,2025-03-02T18:33:38Z,N/A,46,54
ultralytics,2022-09-11T16:39:45Z,2865,156,2025-03-02T21:39:33Z,Python,100,0
Open-Assistant,2022-12-13T05:24:17Z,1616,127,2025-03-02T21:55:14Z,Python,99,1
preact,2015-09-11T02:40:18Z,1812,223,2025-03-02T19:53:41Z,JavaScript,100,0
freecodecamp.cn,2016-09-30T03:13:43Z,55,0,2025-03-02T02:11:25Z,CSS,100,0
leveldb,2014-08-27T21:17:52Z,64,21,2025-03-02T21:13:16Z,C++,98,2
DeepSpeed,2020-01-23T18:35:18Z,2576,87,2025-03-02T19:12:36Z,Python,91,9
jsoncrack.com,2022-01-30T15:25:18Z,83,20,2025-03-02T18:51:13Z,TypeScript,99,1
bark,2023-04-07T19:34:48Z,19,0,2025-03-02T21:14:06Z,Jupyter Notebook,99,1
tutorials,2013-04-29T18:26:36Z,13014,0,2025-03-02T15:18:05Z,Java,100,0
curl,2010-03-18T22:32:22Z,190,87,2025-03-02T20:10:46Z,C,100,0
shellcheck,2012-11-17T03:15:11Z,286,29,2025-03-02T21:46:50Z,Haskell,98,2
awesome-remote-job,2015-01-02T00:31:34Z,582,0,2025-03-02T21:46:31Z,N/A,72,2
python-cheatsheet,2018-01-25T04:16:53Z,14,0,2025-03-02T19:11:35Z,Python,61,5
aria2,2010-11-27T09:41:48Z,252,24,2025-03-02T20:51:58Z,C++,77,23
ant-design-pro,2017-08-25T10:40:44Z,972,26,2025-03-02T16:22:05Z,TypeScript,99,1
freqtrade,2017-05-17T23:48:53Z,5556,95,2025-03-02T21:08:24Z,Python,99,1
pure-bash-bible,2018-06-13T01:39:33Z,28,0,2025-03-02T15:49:36Z,Shell,33,43
interview_internal_reference,2019-06-10T06:54:19Z,35,0,2025-03-02T15:13:40Z,Python,18,28
tmux,2015-06-03T23:32:55Z,1,37,2025-03-02T21:10:25Z,C,100,0
penpot,2015-12-29T22:09:07Z,3632,46,2025-03-02T21:39:32Z,Clojure,94,6
OpenBB,2020-12-20T10:46:38Z,4027,42,2025-03-02T20:42:12Z,Python,100,0
photoprism,2018-01-27T12:00:15Z,708,74,2025-03-02T21:55:19Z,Go,91,9
istio,2016-11-18T23:57:21Z,27327,374,2025-03-02T21:46:09Z,Go,100,0
gradio,2018-12-19T08:24:04Z,4315,1000,2025-03-02T19:50:24Z,Python,100,0
GFPGAN,2021-03-19T06:18:20Z,14,8,2025-03-02T18:30:30Z,Python,59,41
Summer2025-Internships,2020-05-23T20:53:18Z,1668,0,2025-03-02T21:13:51Z,N/A,100,0
novu,2021-08-26T15:22:44Z,5137,40,2025-03-02T21:13:57Z,TypeScript,97,3
GitHubDaily,2018-12-30T13:56:58Z,3,0,2025-03-02T21:45:37Z,N/A,99,1
JavaFamily,2019-11-12T04:26:18Z,2,0,2025-03-02T20:52:18Z,N/A,60,3
ruff,2022-08-09T17:17:44Z,9028,350,2025-03-02T19:16:15Z,Rust,97,3
Files,2019-01-04T18:19:14Z,5141,123,2025-03-02T21:19:36Z,C#,100,0
AI-For-Beginners,2021-03-03T16:27:36Z,167,0,2025-03-02T19:20:01Z,Jupyter Notebook,87,13
trpc,2020-07-18T01:17:11Z,3559,200,2025-03-02T21:52:50Z,TypeScript,99,1
aspnetcore,2014-03-11T06:09:42Z,16937,244,2025-03-02T15:58:52Z,C#,99,1
taro,2018-04-08T09:32:26Z,3281,186,2025-03-02T21:24:13Z,TypeScript,100,0
v,2019-02-08T02:57:06Z,11677,247,2025-03-02T19:47:07Z,V,100,0
manifesto,2023-08-13T16:17:24Z,764,0,2025-03-02T17:45:35Z,HTML,13,13
deeplearningbook-chinese,2016-12-07T11:46:51Z,16,7,2025-03-02T14:43:43Z,TeX,92,8
helix,2020-06-01T04:26:56Z,3911,28,2025-03-02T21:47:29Z,Rust,98,2
pandoc,2010-03-20T20:34:23Z,1640,143,2025-03-02T21:54:04Z,Haskell,99,1
tesseract.js,2015-06-24T02:49:52Z,190,55,2025-03-02T21:05:43Z,JavaScript,100,0
wtfpython,2017-08-28T20:22:19Z,110,2,2025-03-02T17:57:09Z,Python,90,10
arthas,2018-08-29T17:15:57Z,529,58,2025-03-02T20:52:22Z,Java,98,2
wtfjs,2017-07-14T15:42:12Z,124,25,2025-03-02T18:49:31Z,JavaScript,94,6
og-aws,2016-07-13T17:30:16Z,498,0,2025-03-02T05:08:14Z,Shell,40,60
DragGAN,2023-05-18T10:08:02Z,18,0,2025-03-02T13:49:32Z,Python,39,61
MockingBird,2021-08-07T03:53:39Z,81,1,2025-03-02T15:54:10Z,Python,95,5
lerna,2015-12-04T09:36:55Z,979,240,2025-03-02T13:13:49Z,TypeScript,99,1
zod,2020-03-07T20:59:08Z,538,92,2025-03-02T16:50:42Z,TypeScript,100,0
appsmith,2020-06-30T04:07:36Z,13323,267,2025-03-02T18:52:44Z,TypeScript,100,0
devdocs,2013-10-24T18:16:07Z,851,0,2025-03-02T20:07:11Z,Ruby,96,4
fd,2017-05-09T21:27:10Z,612,40,2025-03-02T21:13:34Z,Rust,100,0
insomnia,2016-04-23T03:54:26Z,3062,498,2025-03-02T21:47:20Z,JavaScript,100,0
ray,2016-10-25T19:38:30Z,24686,101,2025-03-02T21:41:56Z,Python,99,1
Flowise,2023-03-31T12:23:09Z,1078,64,2025-03-02T21:08:42Z,TypeScript,94,6
Pake,2022-10-14T09:32:57Z,95,31,2025-03-02T21:58:11Z,Rust,100,0
daisyui,2020-11-28T22:57:27Z,360,55,2025-03-02T21:05:32Z,Svelte,100,0
spotube,2021-02-14T03:17:58Z,231,37,2025-03-02T21:49:22Z,Dart,96,4
interview,2018-02-09T09:49:48Z,35,0,2025-03-02T15:50:56Z,C++,40,24
googletest,2015-07-28T15:07:53Z,810,10,2025-03-02T21:13:22Z,C++,100,0
shadowsocks-android,2012-12-16T13:40:29Z,256,185,2025-03-02T21:13:07Z,Kotlin,100,0
gym,2016-04-27T14:59:16Z,999,19,2025-03-02T19:44:04Z,Python,100,0
hello-algorithm,2020-05-29T05:47:09Z,26,0,2025-03-02T20:56:04Z,Java,32,12
RSSHub,2018-04-02T14:43:21Z,10163,0,2025-03-02T21:57:58Z,TypeScript,100,0
sheetjs,2012-12-03T19:25:52Z,106,0,2025-03-02T15:59:54Z,N/A,96,4
fullPage.js,2013-09-20T11:58:29Z,315,101,2025-03-02T21:24:10Z,JavaScript,100,0
date-fns,2014-10-06T10:24:22Z,1068,122,2025-03-02T18:52:46Z,TypeScript,100,0
upscayl,2022-07-30T17:19:20Z,86,29,2025-03-02T21:57:00Z,TypeScript,100,0
koa,2013-07-20T18:53:45Z,502,3,2025-03-02T19:11:27Z,JavaScript,100,0
chatgpt-on-wechat,2022-08-07T08:33:41Z,245,61,2025-03-02T16:59:50Z,Python,100,0
lottie-android,2016-10-06T22:42:42Z,702,55,2025-03-02T21:13:30Z,Java,100,0
logseq,2020-05-23T00:06:06Z,2987,147,2025-03-02T21:33:06Z,Clojure,100,0
fiber,2020-01-16T03:59:20Z,1572,124,2025-03-02T19:11:46Z,Go,100,0
