Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
clean-code-javascript,2016-11-25T22:25:41Z,149,0,2025-03-02T14:20:56Z,JavaScript,70,30
free-for-dev,2015-03-18T21:06:26Z,2650,0,2025-03-02T19:48:08Z,HTML,0,0
papers-we-love,2013-12-15T14:31:41Z,434,0,2025-03-02T21:47:58Z,Shell,100,0
frp,2015-12-21T15:24:59Z,654,101,2025-03-02T21:27:30Z,Go,100,0
java-design-patterns,2014-08-09T16:45:18Z,1459,0,2025-03-02T19:35:36Z,Java,90,10
iptv,2018-11-14T22:00:57Z,6502,0,2025-03-02T19:50:45Z,JavaScript,100,0
DeepSeek-V3,2024-12-26T09:52:40Z,17,0,2025-03-02T21:54:23Z,Python,70,30
thefuck,2015-04-08T15:08:04Z,481,17,2025-03-02T15:56:37Z,Python,92,8
tauri,2019-07-13T09:09:37Z,4831,1000,2025-03-02T21:31:03Z,Rust,96,4
puppeteer,2017-05-09T22:16:13Z,5150,496,2025-03-02T18:14:38Z,TypeScript,100,0
Awesome-Hacking,2016-03-30T15:47:10Z,34,0,2025-03-02T21:51:12Z,N/A,0,0
vue-element-admin,2017-04-17T03:35:49Z,311,49,2025-03-02T14:58:09Z,Vue,98,2
pytorch,2016-08-13T05:26:41Z,6001,58,2025-03-02T21:22:11Z,Python,99,1
neovim,2014-01-31T13:39:22Z,14697,41,2025-03-02T21:44:24Z,Vim Script,100,0
every-programmer-should-know,2017-08-24T13:18:26Z,99,0,2025-03-02T20:41:16Z,N/A,22,29
tailwindcss,2017-10-06T14:59:14Z,2764,269,2025-03-02T20:36:48Z,TypeScript,100,0
storybook,2016-03-18T04:23:44Z,10798,1000,2025-03-02T19:50:32Z,TypeScript,100,0
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,498,0,2025-03-02T21:51:17Z,JavaScript,100,0
DeepSeek-R1,2025-01-20T11:57:28Z,7,0,2025-03-02T21:31:52Z,N/A,34,66
rustdesk,2020-09-28T15:36:08Z,3342,28,2025-03-02T21:54:40Z,Rust,97,3
nvm,2010-04-15T17:47:47Z,725,68,2025-03-02T21:53:43Z,Shell,100,0
django,2012-04-28T02:47:18Z,9543,0,2025-03-02T20:52:12Z,Python,0,0
